"ID","hostility_C1","warmth_C1","hostility_P1","warmth_P1","hostility_Discrepancies","warmth_Discrepancies","ParentGender","WaveNumber","hostility_C2","warmth_C2","hostility_P2","warmth_P2"
"01008",24,6,19,10,5,-4,"Male","Wave1",NA,NA,NA,NA
"01018",16,13,19,7,-3,6,"Male","Wave1",NA,NA,NA,NA
"01022",20,22,21,12,-1,10,"Male","Wave1",NA,NA,NA,NA
"01037",24,9,16,6,8,3,"Male","Wave1",NA,NA,NA,NA
"01053",25,8,25,13,0,-5,"Male","Wave1",NA,NA,NA,NA
"01105",22,10,20,9,2,1,"Male","Wave1",NA,NA,NA,NA
"01118",16,6,21,6,-5,0,"Male","Wave1",NA,NA,NA,NA
"01144",16,6,13,6,3,0,"Male","Wave1",NA,NA,NA,NA
"01156",28,7,18,6,10,1,"Male","Wave1",NA,NA,NA,NA
"01163",22,21,22,13,0,8,"Male","Wave1",NA,NA,NA,NA
"01188",22,26,24,10,-2,16,"Male","Wave1",NA,NA,NA,NA
"01217",18,17,27,10,-9,7,"Male","Wave1",NA,NA,NA,NA
"01240",21,15,23,7,-2,8,"Male","Wave1",NA,NA,NA,NA
"01241",28,6,28,6,0,0,"Male","Wave1",NA,NA,NA,NA
"01250",21,15,19,15,2,0,"Male","Wave1",NA,NA,NA,NA
"01263",13,19,21,13,-8,6,"Male","Wave1",NA,NA,NA,NA
"01265",22,6,22,14,0,-8,"Male","Wave1",NA,NA,NA,NA
"01270",15,6,25,6,-10,0,"Male","Wave1",NA,NA,NA,NA
"02086",21,22,19,9,2,13,"Male","Wave1",NA,NA,NA,NA
"02105",21,13,20,10,1,3,"Male","Wave1",NA,NA,NA,NA
"02135",20,13,20,9,0,4,"Male","Wave1",NA,NA,NA,NA
"02159",24,8,24,11,0,-3,"Male","Wave1",NA,NA,NA,NA
"03003",27,6,25,9,2,-3,"Male","Wave1",NA,NA,NA,NA
"03004",23,18,23,12,0,6,"Male","Wave1",NA,NA,NA,NA
"03066",23,12,21,8,2,4,"Male","Wave1",NA,NA,NA,NA
"04019",23,18,13,21,10,-3,"Male","Wave1",NA,NA,NA,NA
"04022",27,13,23,9,4,4,"Male","Wave1",NA,NA,NA,NA
"04107",21,14,22,8,-1,6,"Male","Wave1",NA,NA,NA,NA
"04134",24,6,23,9,1,-3,"Male","Wave1",NA,NA,NA,NA
"04155",17,17,21,11,-4,6,"Male","Wave1",NA,NA,NA,NA
"04202",18,9,21,8,-3,1,"Male","Wave1",NA,NA,NA,NA
"04238",9,34,17,20,-8,14,"Male","Wave1",NA,NA,NA,NA
"05006",25,14,23,13,2,1,"Male","Wave1",NA,NA,NA,NA
"05031",24,6,22,9,2,-3,"Male","Wave1",NA,NA,NA,NA
"05094",23,7,19,16,4,-9,"Male","Wave1",NA,NA,NA,NA
"05138",10,14,15,25,-5,-11,"Male","Wave1",NA,NA,NA,NA
"06009",28,6,28,6,0,0,"Male","Wave1",NA,NA,NA,NA
"06061",16,10,21,12,-5,-2,"Male","Wave1",NA,NA,NA,NA
"06166",19,18,20,12,-1,6,"Male","Wave1",NA,NA,NA,NA
"07008",28,8,27,7,1,1,"Male","Wave1",NA,NA,NA,NA
"07015",28,6,28,6,0,0,"Male","Wave1",NA,NA,NA,NA
"07021",16,15,13,15,3,0,"Male","Wave1",NA,NA,NA,NA
"07034",27,6,22,18,5,-12,"Male","Wave1",NA,NA,NA,NA
"07038",26,6,25,8,1,-2,"Male","Wave1",NA,NA,NA,NA
"07043",26,13,18,7,8,6,"Male","Wave1",NA,NA,NA,NA
"07044",16,25,14,7,2,18,"Male","Wave1",NA,NA,NA,NA
"07051",22,9,12,17,10,-8,"Male","Wave1",NA,NA,NA,NA
"07059",24,6,21,13,3,-7,"Male","Wave1",NA,NA,NA,NA
"07091",22,7,19,11,3,-4,"Male","Wave1",NA,NA,NA,NA
"07095",20,26,16,18,4,8,"Male","Wave1",NA,NA,NA,NA
"07113",18,28,19,30,-1,-2,"Male","Wave1",NA,NA,NA,NA
"07131",24,8,20,20,4,-12,"Male","Wave1",NA,NA,NA,NA
"07160",17,9,20,12,-3,-3,"Male","Wave1",NA,NA,NA,NA
"07183",19,7,23,19,-4,-12,"Male","Wave1",NA,NA,NA,NA
"07199",25,10,22,6,3,4,"Male","Wave1",NA,NA,NA,NA
"07211",19,13,19,9,0,4,"Male","Wave1",NA,NA,NA,NA
"07238",26,6,25,10,1,-4,"Male","Wave1",NA,NA,NA,NA
"07278",25,8,27,6,-2,2,"Male","Wave1",NA,NA,NA,NA
"07280",27,8,24,8,3,0,"Male","Wave1",NA,NA,NA,NA
"07294",18,9,18,15,0,-6,"Male","Wave1",NA,NA,NA,NA
"08007",24,24,24,14,0,10,"Male","Wave1",NA,NA,NA,NA
"08021",20,7,19,11,1,-4,"Male","Wave1",NA,NA,NA,NA
"08037",23,24,17,19,6,5,"Male","Wave1",NA,NA,NA,NA
"08045",27,6,26,9,1,-3,"Male","Wave1",NA,NA,NA,NA
"08082",25,10,21,16,4,-6,"Male","Wave1",NA,NA,NA,NA
"08100",25,9,25,9,0,0,"Male","Wave1",NA,NA,NA,NA
"08105",28,14,25,14,3,0,"Male","Wave1",NA,NA,NA,NA
"08108",28,6,28,6,0,0,"Male","Wave1",NA,NA,NA,NA
"08118",22,7,27,8,-5,-1,"Male","Wave1",NA,NA,NA,NA
